"location_id","latitude","longitude","elevation"
68,44.2292941,-122.14013417,986
69,44.2285564,-122.13662651,1031
70,44.22803283,-122.13287791,1024
71,44.22643042,-122.1293456,1028
72,44.2248442,-122.12206971,1006
73,44.22250753,-122.11909971,1017
74,44.22779472,-122.17238459,675
75,44.22742991,-122.16925951,692
76,44.20518168,-122.25316885,540
77,44.20416152,-122.24995338,603
78,44.20198189,-122.24824684,682
79,44.27362457,-122.16061448,1250
80,44.27204341,-122.1574042,1250
81,44.27776467,-122.1378539,1398
82,44.2793004,-122.1447699,1502
84,44.27851879,-122.14866715,1471
85,44.27656203,-122.15129102,1428
86,44.27712371,-122.15495315,1398
87,44.27650446,-122.15853248,1389
88,44.27696664,-122.16569196,1307
89,44.24068575,-122.20256099,630
90,44.24344163,-122.20011912,686
91,44.24696108,-122.19360859,670
92,44.25023459,-122.18801502,700
93,44.25173116,-122.18451223,787
94,44.2545097,-122.18151758,794
95,44.25782055,-122.17869061,814
96,44.25636373,-122.17268546,854
97,44.25793877,-122.17510618,876
98,44.26212749,-122.1704498,910
99,44.26170867,-122.17727093,860
100,44.2629143,-122.18469591,959
101,44.26582706,-122.17408126,950
102,44.23802204,-122.19375573,680
103,44.23185468,-122.18106782,669
104,44.23530672,-122.19554595,630
105,44.23426671,-122.1872579,659
106,44.23305255,-122.1418826,864
107,44.23203434,-122.12868698,999
108,44.22493725,-122.11662204,1049
109,44.2195116,-122.11587691,1060
110,44.22405959,-122.23184447,528
111,44.22253856,-122.22658094,637
112,44.21689877,-122.23268869,765
113,44.21398748,-122.23220074,744
114,44.22018203,-122.22161662,719
115,44.21680679,-122.22043428,788
116,44.21823447,-122.21461923,839
117,44.21836724,-122.20517827,936
118,44.21613209,-122.208726,1044
119,44.21247672,-122.23514949,748
120,44.2270255,-122.22177685,556
121,44.2293332,-122.21430888,569
122,44.21669987,-122.22555511,831
123,44.21351133,-122.22303138,889
124,44.23121941,-122.20844874,576
125,44.21180609,-122.22913728,852
126,44.21446208,-122.22781328,844
127,44.20882554,-122.15315441,1055
128,44.2313263,-122.19667703,621
129,44.21465447,-122.19440011,1184
130,44.21460126,-122.18689002,1285
131,44.21724823,-122.17934244,1077
132,44.22524131,-122.16420706,758
133,44.22254065,-122.16424527,797
134,44.20633667,-122.16447443,1170
135,44.23598871,-122.15654141,805
136,44.2062815,-122.15696546,1167
137,44.23593298,-122.14902868,876
138,44.2105432,-122.23816611,756
139,44.21017816,-122.24148785,669
140,44.21744332,-122.25142374,468
141,44.20376332,-122.12617514,1438
142,44.27214142,-122.17079762,1115
143,44.2326693,-122.15935615,744
144,44.23097333,-122.15159193,874
145,44.22647665,-122.12525432,991
146,44.22969183,-122.17952014,636
147,44.22865645,-122.1757657,662
148,44.27484767,-122.16411823,1216
149,44.27081129,-122.15392595,1244
150,44.27132851,-122.14962071,1260
151,44.2711026,-122.14589003,1231
152,44.27815971,-122.14144647,1448
153,44.27607606,-122.16209688,1352
154,44.2380171,-122.2059031,640
155,44.26597652,-122.17982994,1011
156,44.23286802,-122.20212813,567
157,44.23158688,-122.17388412,687
158,44.21439431,-122.11333291,1129
159,44.20891799,-122.11159208,1205
160,44.2086377,-122.11738455,1244
161,44.22647023,-122.22884575,576
162,44.21963447,-122.23116339,729
163,44.21965303,-122.21143304,888
164,44.21501431,-122.20334566,1094
165,44.21336742,-122.21909018,886
166,44.21281981,-122.21537967,873
167,44.20562494,-122.11538376,1310
168,44.20664191,-122.2571511,459
169,44.21401836,-122.24967644,488
170,44.21742613,-122.26077333,481
171,44.2195,-122.2578,643
173,44.22218859,-122.20252664,903
174,44.2353033,-122.1911378,647
175,44.22717245,-122.12174888,979
176,44.24209415,-122.14276865,994
177,44.25067222,-122.15130105,1116
178,44.24627228,-122.15895568,1081
179,44.24924626,-122.13622203,1178
180,44.25911944,-122.15925,965
181,44.26621172,-122.17020059,971
182,44.26749545,-122.17786922,1030
183,44.27312824,-122.1369729,1302
184,44.27447074,-122.13525278,1334
